id,question,reference,base_answer,ft_answer,time_base,time_ft
1,What is the term used for HARQ-ACK information associated with multicast DCI formats or multicast PDSCH receptions? [3GPP Release 17],Unicast HARQ-ACK information,The term used for HARQ-ACK information associated with multicast PDSCH receptions is the term used for HARQ-ACK information associated with multicast PDSCH receptions. [3GPP Release 17] Answer: The term used for HARQ-ACK information associated with multicast PDSCH receptions is the term used for HARQ-ACK information associated with multicast PDSCH receptions. [3GPP Release 17] Answer: The term used for HARQ-ACK information associated,The term used for HARQ-ACK information associated with multicast PDSCH receptions is the term used for HARQ-ACK information associated with multicast PDSCH receptions. [3GPP Release 17] Answer: The term used for HARQ-ACK information associated with multicast PDSCH receptions is the term used for HARQ-ACK information associated with multicast PDSCH receptions. [3GPP Release 17] Answer: The term used for HARQ-ACK information associated,5.92,6.24
2,What is the purpose of xApps and rApps in the O-RAN architecture?,Real-time control and monitoring of the RAN,The purpose of xApps and rApps in the O-RAN architecture is to provide a framework for the development of the O-RAN architecture. The purpose of xApps and rApps in the O-RAN architecture is to provide a framework for the development of the O-RAN architecture. The purpose of xApps and rApps in the O-RAN architecture is to provide a framework for the development of the O-RAN architecture. The purpose of xApps and r,The purpose of xApps and rApps in the O-RAN architecture is to provide a framework for the development of the O-RAN architecture. The purpose of xApps and rApps in the O-RAN architecture is to provide a framework for the development of the O-RAN architecture. The purpose of xApps and rApps in the O-RAN architecture is to provide a framework for the development of the O-RAN architecture. The purpose of xApps and r,5.58,5.83
3,What type of errors can occur on qubits that are still passively connected but not directly involved in a particular quantum operation?,Gate errors,The answer is that the qubits are still passively connected but not directly involved in a particular quantum operation.,The answer is that the qubits are still passively connected but not directly involved in a particular quantum operation.,5.57,6.9
4,How can power saving be achieved in RRC_IDLE and RRC_INACTIVE? [3GPP Release 18],By adapting the DL maximum number of MIMO layers,I think it is possible to achieve the same results in RRC_IDLE and RRC_INACTIVE.,How can power saving be achieved in RRC_IDLE and RRC_INACTIVE? [3GPP Release 18] Answer: How can power saving be achieved in RRC_IDLE and RRC_INACTIVE? [3GPP Release 18] Answer: How can power saving be achieved in RRC_IDLE and RRC_INACTIVE? [3GPP Release 18] Answer: How can power saving be achieved in RRC_IDLE and,7.1,8.89
5,Which layer in the network stack is responsible for flow and congestion control?,Physical layer,The network stack is responsible for flow and congestion control.,The network stack is responsible for flow and congestion control.,6.31,6.02
6,What is the strict latency requirement for applications like factory automation and tele-surgery in 5G URLLC (ultra-reliable low latency communication)?,Less than 1ms,Yes.,Yes.,5.92,6.23
7,What does the term '3GPP-WLAN Interworking' refer to?,Interconnectivity between 3GPP systems and WLAN networks,The term '3GPP-WLAN Interworking' refers to a network of 3GPP-WLAN Interworking devices that are connected to a network of 3GPP-WLAN Interworking devices. The term '3GPP-WLAN Interworking' refers to a network of 3GPP-WLAN Interworking devices that are connected to a network of 3GPP-WLAN Interworking devices. The term '3GPP-WLAN Interworking' refers to,The term '3GPP-WLAN Interworking' refers to a network of 3GPP-WLAN Interworking devices that are connected to a network of 3GPP-WLAN Interworking devices. The term '3GPP-WLAN Interworking' refers to a network of 3GPP-WLAN Interworking devices that are connected to a network of 3GPP-WLAN Interworking devices. The term '3GPP-WLAN Interworking' refers to,5.67,5.92
8,Which TSG (Technical Support Group) is responsible for interworking with external networks?,RAN WG 1,Yes.,Yes.,5.6,5.82
9,Which technology is NOT mentioned as part of the research on mobility management in network slicing systems?,Hierarchical controllers,Yes.,Yes.,5.65,6.3
10,What is the key advantage of space-down-conversion using a programmable metasurface?,Reduced hardware complexity and cost of the receiver,The key advantage of space-down-conversion using a programmable metasurface is that it allows you to use a programmable metasurface to create a programmable metasurface.,The key advantage of space-down-conversion using a programmable metasurface is that it allows you to use a programmable metasurface to create a programmable metasurface.,6.08,6.23
