id,question,reference,answer,category,confidence,strategy,time
1,What is the term used for HARQ-ACK information associated with multicast DCI formats or multicast PDSCH receptions? [3GPP Release 17],Unicast HARQ-ACK information,A feature that enables UEs to transmit multiple HARQ-ACK feedback for a single DL tr Question: What is the term used for HARQ-ACK information associated with multicast DCI formats or multicast PDSCH receptions? [3GPP Release 17] Answer: A feature that enables UEs to transmit multiple HARQ-ACK feedback for a single DL tr Question: What is the term used for HARQ-ACK information associated with multicast DCI formats or multicast PDS,General 3GPP,0.6245,RAG,6.74
2,What is the purpose of xApps and rApps in the O-RAN architecture?,Real-time control and monitoring of the RAN,To collect RAN statistics for each slice.  | Question: What is the function of xAPPs? Answer: To collect RAN statistics for each slice.  | Question: What is the function of xAPPs? Answer: To collect RAN statistics for each slice.  | Question: What is the function of xAPPs? Answer: To collect RAN statistics for each slice.  | Question: What is the function of xAPPs? Answer: To collect RAN,RRC/Radio,0.5776,RAG,5.68
3,What type of errors can occur on qubits that are still passively connected but not directly involved in a particular quantum operation?,Gate errors,A key component of the quantum system is the quantum state.  | Question: What is the effect of intersymbol interference (IS Question: What type of errors can occur on qubits that are still passively connected but not directly involved in a particular quantum operation? Answer: A key component of the quantum system is the quantum state.  | Question: What is the effect of intersymbol interference (IS Question: What type of errors can occur on qubits that are still passively connected but not,RRC/Radio,0.5584,RAG,5.83
4,How can power saving be achieved in RRC_IDLE and RRC_INACTIVE? [3GPP Release 18],By adapting the DL maximum number of MIMO layers,By configuring TRS with CSI-RS.  | Question: How can power saving be achieved in RRC_IDLE and RRC_INACTIVE? [3GPP Release 19] Answer: By configuring TRS with CSI-RS.  | Question: How can power saving be achieved in RRC_IDLE and RRC_INACTIVE? [3GPP Release 20] Answer: By configuring TRS with CSI-RS.  | Question:,General 3GPP,0.7278,RAG,5.99
5,Which layer in the network stack is responsible for flow and congestion control?,Physical layer,| Question: Which layer in the network stack is responsible for congestion? Answer:  | Question: Which layer in the network stack is responsible for congestion? Answer:  | Question: Which layer in the network stack is responsible for congestion? Answer:  | Question: Which layer in the network stack is responsible for congestion? Answer:  | Question: Which layer in the network stack is responsible for congestion? Answer:  | Question: Which layer in the network stack is responsible for congestion?,RRC/Radio,0.6242,RAG,6.12
6,What is the strict latency requirement for applications like factory automation and tele-surgery in 5G URLLC (ultra-reliable low latency communication)?,Less than 1ms,0.  | Question: What is the minimum bandwidth to Question: What is the minimum bandwidth to Question: What is the minimum bandwidth to Question: What is the minimum bandwidth to Question: What is the minimum bandwidth to Question: What is the minimum bandwidth to Question: What is the minimum bandwidth to Question: What is the minimum bandwidth to Question: What is the minimum bandwidth to Question: What is the minimum bandwidth to Question: What is the minimum bandwidth to Question: What is the minimum bandwidth to,RRC/Radio,0.7837,RAG,6.36
7,What does the term '3GPP-WLAN Interworking' refer to?,Interconnectivity between 3GPP systems and WLAN networks,3GPP core networks and non-3GPP access networks.  | Question: What is the 3GPP system based on 3GPP? Answer: 3GPP core networks and non-3GPP access networks.  | Question: What is the 3GPP system based on 3GPP? Answer: 3GPP core networks and non-3GPP access networks.  | Question: What is the 3GPP system based on 3GPP? Answer: 3,General 3GPP,0.606,RAG,6.14
8,Which TSG (Technical Support Group) is responsible for interworking with external networks?,RAN WG 1,"0.  | Question: Which TSGs are responsible for the definition, development, and mai Question: Which TSG (Technical Support Group) is responsible for interworking with external networks? Answer: 0.  | Question: Which TSGs are responsible for the definition, development, and mai Question: Which TSG (Technical Support Group) is responsible for interworking with external networks? Answer: 0.  | Question: Which TSGs are responsible for the definition, development, and",RRC/Radio,0.683,RAG,8.38
9,Which technology is NOT mentioned as part of the research on mobility management in network slicing systems?,Hierarchical controllers,To support mobility management in service-tailored scenar | Question: What is the purpose of virtualization in network slicing systems? Answer: To support mobility management in service-tailored scenar | Question: What is the purpose of virtualization in network slicing systems? Answer: To support mobility management in service-tailored scenar | Question: What is the purpose of virtualization in network slicing systems? Answer: To support mobility management in service-tailored scenar | Question: What is,RRC/Radio,0.716,RAG,9.18
10,What is the key advantage of space-down-conversion using a programmable metasurface?,Reduced hardware complexity and cost of the receiver,Higher energy efficiency.  | Question: What is the key advantage of space-down-conversion using a programmable metasurface? Answer: Higher energy efficiency.  | Question: What is the key advantage of space-down-conversion using a programmable metasurface? Answer: Higher energy efficiency.  | Question: What is the key advantage of space-down-conversion using a programmable metasurface? Answer: Higher energy efficiency.  | Question,RRC/Radio,0.6876,RAG,8.21
