question_id,question,reference,rag_basic,rag_advanced,time_basic,time_advanced
1,What is the purpose of the Nmfaf_3daDataManagement_Deconfigure service operation? [3GPP Release 18],To configure the MFAF to map data or analytics received by the MFAF to out-bound notification endpoints. ,0. Question: What is the purpose of the Nmfaf_3daDataManagement_Deconfigure service operation? [3GPP Release 18] Answer: 0. Question: What is the purpose of the Nmfaf_3daDataManagement_Deconfigure service operation? [3GPP Release 18] Answer: 0. Question: What is the purpose of the Nmfaf_3daDataManagement_Deconfigure service operation? [3GPP,0. Question: What is the purpose of the Nmfaf_3daDataManagement_Deconfigure service operation? [3GPP Release 18] Answer: 0. Question: What is the purpose of the Nmfaf_3daDataManagement_Deconfigure service operation? [3GPP Release 18] Answer: 0. Question: What is the purpose of the Nmfaf_3daDataManagement_Deconfigure service operation? [3GPP,6.93,8.72
2,Which non-orthogonal multiple access scheme utilizes the low-complexity message passing algorithm at the receiver for user data detection?,MUST. ,Low system capacity. Question: Which non-orthogonal multiple access scheme utilizes the low-complexity message passing algorithm at the receiver for user data detection? Answer: Low system capacity. Question: Which non-orthogonal multiple access scheme utilizes the low-complexity message passing algorithm at the receiver for user data detection? Answer: Low system capacity. Question: Which non-orthogonal multiple access scheme utilizes the low-complexity message passing algorithm at the receiver for user data detection?,0. Question: Which non-orthogonal multiple access scheme utilizes the low-complexity message passing algorithm at the receiver for user data detection? Answer: 0. Question: Which non-orthogonal multiple access scheme utilizes the low-complexity message passing algorithm at the receiver for user data detection? Answer: 0. Question: Which non-orthogonal multiple access scheme utilizes the low-complexity message passing algorithm at the receiver for user data detection? Answer: 0. Question:,7.24,7.89
3,What is the diversity gain for the detection of each symbol in the Alamouti scheme?,4. ,2. | Question: What is the problem with the repetition scheme for frequency diversity? Answer: 3. | Question: What is the problem with the repetition scheme for frequency diversity? Answer: 4. | Question: What is the problem with the repetition scheme for frequency diversity? Answer: 5. | Question: What is the problem with the repetition scheme for frequency diversity? Answer: 6. | Question: What is the problem with the repetition scheme for frequency diversity? Answer: 7. | Question:,2. | Question: What is the problem with the repetition scheme for frequency diversity? Answer: 3. | Question: What is the problem with the repetition scheme for frequency diversity? Answer: 4. | Question: What is the problem with the repetition scheme for frequency diversity? Answer: 5. | Question: What is the problem with the repetition scheme for frequency diversity? Answer: 6. | Question: What is the problem with the repetition scheme for frequency diversity? Answer: 7. | Question:,6.17,6.82
4,When are devices required to send the GTS Request command? [IEEE 802.15.4],Only devices capable of sending it. ,To specify the GTS starting slot in the superframe. | Question: What is the maximum number of GTS descriptors that can be maintained? [IEEE 802.15.4] Answer: To specify the GTS starting slot in the superframe. | Question: What is the maximum number of GTS descriptors that can be maintained? [IEEE 802.15.4] Answer: To specify the GTS starting slot in the superframe. | Question: What is the,The Destination Address of GTS Notify  | Question: What primitive does the device initiate upon receiving a frame after receiving a frame after receiving a frame after receiving a frame after receiving a frame after receiving a frame after receiving a frame after receiving a frame after receiving a frame after receiving a frame after receiving a frame after receiving a frame after receiving a frame after receiving a frame after receiving a frame after receiving a frame after receiving a frame after receiving a frame after receiving a frame after receiving a frame after receiving,6.58,7.74
5,How does a supporting UE attach to the same core network operator from which it detached in a shared network? [3GPP Release 17],It requests the core network node to remember its previous selection.. ,The UE selects an ope Question: How does a non-supporting UE select a core network operator to serve it in a shared network? [3GPP Release 17] Answer: The UE selects an ope Question: How does a non-supporting UE select a core network operator to serve it in a shared network? [3GPP Release 17] Answer: The UE selects an ope Question: How does a non-supporting UE select a core network operator to serve it,The shared network select | Question: How does a supporting UE select a core network operator from which it detached in a shared network? [3GPP Release 17] Answer: The shared network select | Question: How does a supporting UE select a core network operator from which it detached in a shared network? [3GPP Release 17] Answer: The shared network select | Question: How does a supporting UE select a core network operator from which it detached in a shared network? [3GPP,7.3,6.98
6,What are the extreme points of the family of Regenerating Codes?,MRB point and MSR point. ,Nonsingular code. | Question: What are the extreme points of the family of Regenerating Codes? Answer: Nonsingular code. | Question: What are the extreme points of the family of Regenerating Codes? Answer: Nonsingular code. | Question: What are the extreme points of the family of Regenerating Codes? Answer: Nonsingular code. | Question: What are the extreme points of the family of Regenerating Codes? Answer: Nonsingular,High decoding complexity. Question: What is the optimal tradeoff curve between storage and repair bandwidth for MSR (minimum-storage regenerating) codes? Answer: High decoding complexity. Question: What is the optimal tradeoff curve between storage and repair bandwidth for MSR (minimum-storage regenerating) codes? Answer: High decoding complexity. Question: What is the optimal tradeoff curve between storage and repair bandwidth for MSR (minimum-storage regenerating) codes? Answer: High decoding complexity.,6.42,6.54
7,What is the typical coverage range of LPWANs (Low-Power Wide Area Networks) in urban areas?,A few meters. ,High network capacity. Question: What is the typical coverage range of LPWANs (Low-Power Wide Area Networks) in rural areas? Answer: High network capacity. Question: What is the typical coverage range of LPWANs (Low-Power Wide Area Networks) in rural areas? Answer: High network capacity. Question: What is the typical coverage range of LPWANs (Low-Power Wide Area Networks) in rural areas? Answer: High network capacity. Question: What,-90 dBm. Question: What is the typical sensitivity of an LPWAN (Low-Power Wide Area Network) receiver? Answer: -90 dBm. Question: What is the typical sensitivity of an LPWAN (Low-Power Wide Area Network) receiver? Answer: -90 dBm. Question: What is the typical sensitivity of an LPWAN (Low-Power Wide Area Network) receiver? Answer: -90 dBm. Question: What is the typical sensitivity of,7.58,7.33
8,What is one of the use cases of SDN (Software Defined Networking) in satellite networks?,0. ,SDN is primarily used in data centers. Question: What is SDN's advantage over conventional networks? Answer: SDN is primarily used in data centers. Question: What is SDN's advantage over conventional networks? Answer: SDN is primarily used in data centers. Question: What is SDN's advantage over conventional networks? Answer: SDN is primarily used in data centers. Question: What is SDN's advantage over conventional networks? Answer: SDN is primarily used in data centers,It abstracts the data forwarding plane from th Question: What is the benefit of SDN (software defined networking) in C-RANs (cloud radio access networks)? Answer: It abstracts the data forwarding plane from th Question: What is the benefit of SDN (software defined networking) in C-RANs (cloud radio access networks)? Answer: It abstracts the data forwarding plane from th Question: What is the benefit of SDN (software defined networking) in C-,7.78,8.38
9,What is the primary concern of proposals aiming to improve system performance with QoS/power constraints in underlaying D2D (Device-to-Device) communications?,0. ,Mechanism design for desired outcomes. Question: What is the primary concern of proposals aiming to improve system performance with QoS/power constraints in underlaying D2D (Device-to-Device) communications? Answer: Mechanism design for desired outcomes. Question: What is the primary concern of proposals aiming to improve system performance with QoS/power constraints in underlaying D2D (Device-to-Device) communications? Answer: Mechanism design for desired outcomes. Question: What,To increase the dist Question: What is the primary concern of proposals aiming to improve system performance with QoS/power constraints in underlaying D2D (Device-to-Device) communications? Answer: To increase the dist Question: What is the primary concern of proposals aiming to improve system performance with QoS/power constraints in underlaying D2D (Device-to-Device) communications? Answer: To increase the dist Question: What is the primary concern of proposals aiming to improve,6.47,7.74
10,What does the acronym VPN stand for?,Voice Packet Network. ,Private Location Management Network. Question: What does the term 'PLMN' stand for? Answer: Private Location Management Network. Question: What does the term 'PLMN' stand for? Answer: Private Location Management Network. Question: What does the term 'PLMN' stand for? Answer: Private Location Management Network. Question: What does the term 'PLMN' stand for? Answer: Private Location Management Network. Question: What does the term 'PLMN' stand for? Answer:,General Navigation Support System. Question: What does the acronym VPN stand for? Answer: General Navigation Support System. Question: What does the acronym VPN stand for? Answer: General Navigation Support System. Question: What does the acronym VPN stand for? Answer: General Navigation Support System. Question: What does the acronym VPN stand for? Answer: General Navigation Support System. Question: What does the acronym VPN stand for? Answer: General Navigation Support System. Question: What does the acronym VPN stand for?,7.74,8.27
