id,question,reference,answer,category,question_type,retrieval_score,quality_score,is_valid,has_3gpp_terms,time
1,What is the term used for HARQ-ACK information associated with multicast DCI formats or multicast PDSCH receptions? [3GPP Release 17],Unicast HARQ-ACK information,A feature that enables UEs to transmit multiple HARQ-ACK feedback for a single DL tr Question: What is the term used for HARQ-ACK information associated with multicast DCI formats or multicast PDSCH receptions? [3GPP Release 17] Answer: A feature that enables UEs to transmit multiple HARQ-ACK feedback for a single DL tr Question: What is the term used for HARQ-ACK information associated with multicast DCI formats or multicast PDS,General 3GPP,definition,0.6245,0.925,True,True,9.62
2,What is the purpose of xApps and rApps in the O-RAN architecture?,Real-time control and monitoring of the RAN,To collect RAN statistics for each slice.  | Question: What is the function of xAPPs? Answer: To collect RAN statistics for each slice.  | Question: What is the function of xAPPs? Answer: To collect RAN statistics for each slice.  | Question: What is the function of xAPPs? Answer: To collect RAN statistics for each slice.  | Question: What is the function of xAPPs? Answer: To collect RAN,RRC/Radio,definition,0.5776,0.616,True,True,17.41
3,What type of errors can occur on qubits that are still passively connected but not directly involved in a particular quantum operation?,Gate errors,A technique to achieve fault-tolerant quantum codes.  | Question: What is the effect of intersymbol interference (IS Question: What type of errors can occur on qubits that are still passively connected but not directly involved in a particular quantum operation? Answer: A technique to achieve fault-tolerant quantum codes.  | Question: What is the effect of intersymbol interference (IS Question: What type of errors can occur on qubits that are still passively connected but not,RRC/Radio,factual,0.5584,0.912,True,True,14.23
4,How can power saving be achieved in RRC_IDLE and RRC_INACTIVE? [3GPP Release 18],By adapting the DL maximum number of MIMO layers,By configuring TRS with CSI-RS.  | Question: How can power saving be achieved in RRC_IDLE and RRC_INACTIVE? [3GPP Rel | Question: How can power saving be achieved in RRC_IDLE and RRC_INACTIVE? [3GPP Rel | Question: How can power saving be achieved in RRC_IDLE and RRC_INACTIVE? [3GPP Rel | Question: How can,General 3GPP,procedure,0.7278,0.946,True,True,10.82
5,Which layer in the network stack is responsible for flow and congestion control?,Physical layer,| Question: Which layer in the network stack is responsible for congestion? Answer:  | Question: Which layer in the network stack is responsible for congestion? Answer:  | Question: Which layer in the network stack is responsible for congestion? Answer:  | Question: Which layer in the network stack is responsible for congestion? Answer:  | Question: Which layer in the network stack is responsible for congestion? Answer:  | Question: Which layer in the network stack is responsible for congestion?,RRC/Radio,factual,0.6242,0.625,True,True,10.19
6,What is the strict latency requirement for applications like factory automation and tele-surgery in 5G URLLC (ultra-reliable low latency communication)?,Less than 1ms,0.  | Question: What is the minimum bandwidth to Question: What is the minimum bandwidth to Question: What is the minimum bandwidth to Question: What is the minimum bandwidth to Question: What is the minimum bandwidth to Question: What is the minimum bandwidth to Question: What is the minimum bandwidth to Question: What is the minimum bandwidth to Question: What is the minimum bandwidth to Question: What is the minimum bandwidth to Question: What is the minimum bandwidth to Question: What is the minimum bandwidth to,RRC/Radio,definition,0.7837,0.957,True,True,10.29
7,What does the term '3GPP-WLAN Interworking' refer to?,Interconnectivity between 3GPP systems and WLAN networks,3GPP core networks and non-3GPP access networks.  | Question: What is the 3GPP system based on 3GPP? Answer: 3GPP core networks and non-3GPP access networks.  | Question: What is the 3GPP system based on 3GPP? Answer: 3GPP core networks and non-3GPP access networks.  | Question: What is the 3GPP system based on 3GPP? Answer: 3,General 3GPP,factual,0.606,0.621,True,True,9.0
8,Which TSG (Technical Support Group) is responsible for interworking with external networks?,RAN WG 1,"0.  | Question: Which TSGs are responsible for the definition, development, and mai Question: Which TSGs are responsible for the definition, development, and mai Question: Which TSGs are responsible for the definition, development, and mai Question: Which TSGs are responsible for the definition, development, and mai Question: Which TSGs are responsible for the definition, development, and mai Question: Which TSGs are responsible for the definition, development, and mai",RRC/Radio,factual,0.683,0.937,True,True,9.18
9,Which technology is NOT mentioned as part of the research on mobility management in network slicing systems?,Hierarchical controllers,To support mobility management in service-tailored scenar | Question: What is the purpose of virtualization in network slicing systems? Answer: To support mobility management in service-tailored scenar | Question: What is the purpose of virtualization in network slicing systems? Answer: To support mobility management in service-tailored scenar | Question: What is the purpose of virtualization in network slicing systems? Answer: To support mobility management in service-tailored scenar | Question: What is,RRC/Radio,factual,0.716,0.643,True,True,9.48
10,What is the key advantage of space-down-conversion using a programmable metasurface?,Reduced hardware complexity and cost of the receiver,Higher energy efficiency.  | Question: What is the key advantage of space-down-conversion using a programmable metasurface? Answer: Higher energy efficiency.  | Question: What is the key advantage of space-down-conversion using a programmable metasurface? Answer: Higher energy efficiency.  | Question: What is the key advantage of space-down-conversion using a programmable metasurface? Answer: Higher energy efficiency.  | Question,RRC/Radio,definition,0.6876,0.638,True,True,16.24
